ZoneAlarm Logging Client v4.0.146.029
Windows 2000-5.0.2195-Service Pack 4-SP
type,date,time,source,destination,transport
FWIN,2003/10/10,11:00:36 +2:00 GMT,212.107.37.95:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/10,11:00:48 +2:00 GMT,212.109.29.54:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/10,11:10:30 +2:00 GMT,212.109.31.254:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/10,11:13:42 +2:00 GMT,212.107.57.98:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/10,11:20:42 +2:00 GMT,66.81.203.69:38350,192.168.31.2:1080,TCP (flags:S)
FWIN,2003/10/10,11:21:12 +2:00 GMT,212.107.56.236:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/10,11:24:20 +2:00 GMT,212.107.205.146:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/10,11:30:02 +2:00 GMT,212.111.168.48:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/10,11:30:46 +2:00 GMT,212.112.6.250:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/10,11:34:32 +2:00 GMT,212.109.53.154:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/10,11:56:28 +2:00 GMT,204.188.77.186:3797,192.168.31.2:6588,TCP (flags:S)
FWIN,2003/10/10,11:58:40 +2:00 GMT,212.112.0.83:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/10,11:59:24 +2:00 GMT,212.111.147.165:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/10,11:59:54 +2:00 GMT,212.107.56.14:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/10,12:10:10 +2:00 GMT,212.107.59.97:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/10,12:10:14 +2:00 GMT,212.109.110.2:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/10,12:13:24 +2:00 GMT,64.216.218.61:0,192.168.31.2:6369,TCP (flags:S)
FWIN,2003/10/10,12:13:38 +2:00 GMT,192.168.34.245:4892,192.168.31.2:135,TCP (flags:S)
FWIN,2003/10/10,12:17:42 +2:00 GMT,212.107.59.130:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/10,12:22:40 +2:00 GMT,212.111.147.1:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/10,12:24:16 +2:00 GMT,212.111.147.147:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/10,12:36:38 +2:00 GMT,212.107.57.98:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/10,12:40:50 +2:00 GMT,212.106.68.29:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/10,12:54:16 +2:00 GMT,212.107.59.155:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/10,13:00:22 +2:00 GMT,212.107.59.175:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/10,13:01:28 +2:00 GMT,212.111.173.91:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/10,13:09:24 +2:00 GMT,212.107.57.145:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/10,13:10:24 +2:00 GMT,212.109.31.254:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/10,13:19:54 +2:00 GMT,194.165.136.49:1096,192.168.31.2:554,TCP (flags:S)
FWIN,2003/10/10,13:19:54 +2:00 GMT,194.165.136.49:1097,192.168.31.2:7070,TCP (flags:S)
FWIN,2003/10/10,13:28:02 +2:00 GMT,212.106.68.188:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/10,13:31:40 +2:00 GMT,212.110.66.220:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/10,13:34:16 +2:00 GMT,212.107.205.146:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/10,13:38:16 +2:00 GMT,212.109.53.154:0,192.168.31.2:0,ICMP (type:8/subtype:0)
