ZoneAlarm Logging Client v4.0.146.029
Windows 2000-5.0.2195-Service Pack 4-SP
type,date,time,source,destination,transport
FWIN,2003/10/09,10:58:42 +2:00 GMT,212.106.68.188:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/09,11:03:38 +2:00 GMT,212.109.29.44:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/09,11:13:16 +2:00 GMT,213.59.151.135:4224,192.168.31.2:1433,TCP (flags:S)
FWIN,2003/10/09,11:15:32 +2:00 GMT,212.109.53.154:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/09,11:16:06 +2:00 GMT,212.110.86.149:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/09,11:17:08 +2:00 GMT,212.180.1.14:1099,192.168.31.2:4128,TCP (flags:S)
FWIN,2003/10/09,11:18:54 +2:00 GMT,212.110.42.41:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/09,11:18:58 +2:00 GMT,212.110.19.137:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/09,11:20:40 +2:00 GMT,212.106.163.229:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/09,11:23:12 +2:00 GMT,141.157.41.200:1441,192.168.31.2:53,UDP
FWIN,2003/10/09,11:26:14 +2:00 GMT,212.107.59.155:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/09,11:27:58 +2:00 GMT,212.109.29.29:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/09,11:28:36 +2:00 GMT,192.168.33.253:4834,192.168.31.2:135,TCP (flags:S)
FWIN,2003/10/09,11:38:06 +2:00 GMT,212.107.36.101:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/09,11:42:18 +2:00 GMT,212.107.56.14:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/09,11:42:26 +2:00 GMT,212.107.205.146:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/09,11:45:28 +2:00 GMT,212.109.31.254:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/09,11:46:54 +2:00 GMT,212.108.130.37:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/09,11:56:32 +2:00 GMT,212.110.65.41:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/09,12:03:14 +2:00 GMT,212.109.110.2:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/09,12:08:52 +2:00 GMT,212.111.147.6:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/09,12:09:42 +2:00 GMT,212.111.147.175:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/09,12:10:56 +2:00 GMT,212.109.31.6:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/09,12:11:34 +2:00 GMT,212.110.66.243:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/09,12:18:18 +2:00 GMT,212.107.59.39:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/09,12:26:26 +2:00 GMT,212.111.146.18:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/09,12:40:06 +2:00 GMT,212.110.19.137:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/09,12:44:46 +2:00 GMT,212.112.0.83:0,192.168.31.2:0,ICMP (type:8/subtype:0)
