ZoneAlarm Logging Client v6.5.737.000
Windows 2000-5.0.2195-Service Pack 4-SP
type,date,time,source,destination,transport (Security)
type,date,time,virus name,file name,mode,e-mail id (Anti-Virus)
type,date,time,source,destination,action,service (IM Security)
type,date,time,source,destination,program,action (Malicious Code Protection)
type,date,time,action,product,file,event,subevent,class,data,data,... (OSFirewall)
type,date,time,name,type,mode (Anti-Spyware)
FWIN,2006/11/08,12:44:24 +1:00 GMT,192.168.115.97:2145,192.168.31.5:139,TCP (flags:S)
FWIN,2006/11/08,12:45:56 +1:00 GMT,204.16.208.161:35135,192.168.31.5:1026,UDP
FWIN,2006/11/08,12:48:10 +1:00 GMT,192.168.21.122:1439,192.168.31.5:135,TCP (flags:S)
FWIN,2006/11/08,12:50:10 +1:00 GMT,192.168.115.97:4642,192.168.31.5:139,TCP (flags:S)
FWIN,2006/11/08,12:50:36 +1:00 GMT,89.34.184.201:0,192.168.31.5:0,ICMP (type:8/subtype:0)
FWIN,2006/11/08,12:52:28 +1:00 GMT,200.64.27.133:0,192.168.31.5:0,ICMP (type:8/subtype:0)
FWIN,2006/11/08,12:53:18 +1:00 GMT,192.168.42.174:2525,192.168.31.5:445,TCP (flags:S)
FWIN,2006/11/08,13:03:30 +1:00 GMT,192.168.21.122:2143,192.168.31.5:445,TCP (flags:S)
FWIN,2006/11/08,13:07:46 +1:00 GMT,192.168.21.122:4516,192.168.31.5:139,TCP (flags:S)
FWIN,2006/11/08,13:08:36 +1:00 GMT,192.168.42.174:1752,192.168.31.5:445,TCP (flags:S)
FWIN,2006/11/08,13:13:08 +1:00 GMT,192.168.42.221:2023,192.168.31.5:139,TCP (flags:S)
FWIN,2006/11/08,13:36:26 +1:00 GMT,201.252.171.240:1027,192.168.31.5:137,UDP
FWIN,2006/11/08,13:44:54 +1:00 GMT,195.24.59.253:4258,192.168.31.5:2049,TCP (flags:S)
FWIN,2006/11/08,13:47:50 +1:00 GMT,192.168.42.174:3208,192.168.31.5:445,TCP (flags:S)
FWIN,2006/11/08,13:58:28 +1:00 GMT,192.168.115.97:3083,192.168.31.5:139,TCP (flags:S)
FWIN,2006/11/08,14:00:52 +1:00 GMT,192.168.115.97:3507,192.168.31.5:139,TCP (flags:S)
FWIN,2006/11/08,14:01:24 +1:00 GMT,219.81.165.31:1843,192.168.31.5:25,TCP (flags:S)
FWIN,2006/11/08,14:22:20 +1:00 GMT,192.168.42.174:2627,192.168.31.5:445,TCP (flags:S)
FWIN,2006/11/08,14:24:44 +1:00 GMT,192.168.21.122:2871,192.168.31.5:445,TCP (flags:S)
FWIN,2006/11/08,14:25:08 +1:00 GMT,192.168.115.97:4617,192.168.31.5:139,TCP (flags:S)
FWIN,2006/11/08,14:26:28 +1:00 GMT,66.219.174.152:0,192.168.31.5:0,ICMP (type:8/subtype:0)
FWIN,2006/11/08,14:39:40 +1:00 GMT,192.168.42.221:1178,192.168.31.5:445,TCP (flags:S)
FWIN,2006/11/08,14:50:36 +1:00 GMT,192.168.26.53:1877,192.168.31.5:139,TCP (flags:S)
FWIN,2006/11/08,14:52:30 +1:00 GMT,192.168.34.171:4686,192.168.31.5:135,TCP (flags:S)
FWIN,2006/11/08,14:58:26 +1:00 GMT,192.168.34.171:1083,192.168.31.5:139,TCP (flags:S)
FWIN,2006/11/08,14:58:58 +1:00 GMT,86.196.249.48:0,192.168.31.5:0,ICMP (type:8/subtype:0)
FWIN,2006/11/08,15:02:10 +1:00 GMT,192.168.21.122:4845,192.168.31.5:445,TCP (flags:S)
FWIN,2006/11/08,15:06:30 +1:00 GMT,192.168.42.221:4183,192.168.31.5:445,TCP (flags:S)
FWIN,2006/11/08,15:07:50 +1:00 GMT,192.168.34.171:4259,192.168.31.5:445,TCP (flags:S)
FWIN,2006/11/08,15:13:32 +1:00 GMT,192.168.42.174:2737,192.168.31.5:445,TCP (flags:S)
FWIN,2006/11/08,15:14:16 +1:00 GMT,192.168.34.171:4395,192.168.31.5:135,TCP (flags:S)
FWIN,2006/11/08,15:15:06 +1:00 GMT,192.168.34.186:2168,192.168.31.5:139,TCP (flags:S)
FWIN,2006/11/08,15:18:56 +1:00 GMT,192.168.26.53:2532,192.168.31.5:139,TCP (flags:S)
FWIN,2006/11/08,15:23:16 +1:00 GMT,192.168.34.186:1766,192.168.31.5:139,TCP (flags:S)
FWIN,2006/11/08,15:25:08 +1:00 GMT,192.168.34.171:1239,192.168.31.5:139,TCP (flags:S)
FWIN,2006/11/08,15:29:00 +1:00 GMT,192.168.34.186:4268,192.168.31.5:139,TCP (flags:S)
FWIN,2006/11/08,15:30:58 +1:00 GMT,192.168.42.174:4581,192.168.31.5:445,TCP (flags:S)
FWIN,2006/11/08,15:33:44 +1:00 GMT,83.24.36.56:0,192.168.31.5:0,ICMP (type:8/subtype:0)
FWIN,2006/11/08,15:33:54 +1:00 GMT,192.168.21.122:4444,192.168.31.5:135,TCP (flags:S)
FWIN,2006/11/08,15:47:50 +1:00 GMT,67.41.196.38:0,192.168.31.5:0,ICMP (type:8/subtype:0)
FWIN,2006/11/08,16:00:46 +1:00 GMT,211.148.169.191:0,192.168.31.5:0,ICMP (type:8/subtype:0)
FWIN,2006/11/08,16:03:38 +1:00 GMT,192.168.21.122:3801,192.168.31.5:139,TCP (flags:S)
FWIN,2006/11/08,16:07:04 +1:00 GMT,192.168.21.122:2074,192.168.31.5:445,TCP (flags:S)
FWIN,2006/11/08,16:11:26 +1:00 GMT,192.168.21.122:1960,192.168.31.5:139,TCP (flags:S)
FWIN,2006/11/08,16:17:58 +1:00 GMT,192.168.21.122:1912,192.168.31.5:445,TCP (flags:S)
FWIN,2006/11/08,16:39:24 +1:00 GMT,192.168.50.250:3195,192.168.31.5:139,TCP (flags:S)
FWIN,2006/11/08,16:40:20 +1:00 GMT,192.168.21.122:3512,192.168.31.5:139,TCP (flags:S)
FWIN,2006/11/08,16:52:28 +1:00 GMT,192.168.55.12:3597,192.168.31.5:445,TCP (flags:S)
FWIN,2006/11/08,16:54:36 +1:00 GMT,192.168.26.53:1112,192.168.31.5:139,TCP (flags:S)
FWIN,2006/11/08,16:55:16 +1:00 GMT,192.168.21.122:3972,192.168.31.5:135,TCP (flags:S)
FWIN,2006/11/08,16:55:20 +1:00 GMT,192.168.21.122:4121,192.168.31.5:445,TCP (flags:S)
FWIN,2006/11/08,16:56:40 +1:00 GMT,209.139.21.231:2899,192.168.31.5:1433,TCP (flags:S)
FWIN,2006/11/08,17:07:22 +1:00 GMT,218.238.194.47:0,192.168.31.5:0,ICMP (type:8/subtype:0)
FWIN,2006/11/08,17:07:34 +1:00 GMT,89.37.99.199:0,192.168.31.5:0,ICMP (type:8/subtype:0)
FWIN,2006/11/08,17:26:02 +1:00 GMT,64.115.21.234:1040,192.168.31.5:1433,TCP (flags:S)
FWIN,2006/11/08,17:26:36 +1:00 GMT,210.1.132.178:36842,192.168.31.5:22,TCP (flags:S)
FWIN,2006/11/08,17:31:20 +1:00 GMT,192.168.50.250:1875,192.168.31.5:135,TCP (flags:S)
FWIN,2006/11/08,17:42:46 +1:00 GMT,196.22.136.2:2074,192.168.31.5:1434,UDP
FWIN,2006/11/08,18:20:08 +1:00 GMT,204.16.208.161:34697,192.168.31.5:1026,UDP
FWIN,2006/11/08,18:25:04 +1:00 GMT,192.168.42.221:2849,192.168.31.5:139,TCP (flags:S)
FWIN,2006/11/08,18:26:56 +1:00 GMT,192.168.21.122:1825,192.168.31.5:445,TCP (flags:S)
FWIN,2006/11/08,18:27:24 +1:00 GMT,192.168.21.122:2885,192.168.31.5:135,TCP (flags:S)
FWIN,2006/11/08,18:49:52 +1:00 GMT,192.168.21.122:3620,192.168.31.5:445,TCP (flags:S)
FWIN,2006/11/08,18:50:26 +1:00 GMT,192.168.21.122:4873,192.168.31.5:135,TCP (flags:S)
FWIN,2006/11/08,18:52:20 +1:00 GMT,72.8.76.115:0,192.168.31.5:0,ICMP (type:8/subtype:0)
FWIN,2006/11/08,18:54:44 +1:00 GMT,192.168.42.221:2877,192.168.31.5:139,TCP (flags:S)
FWIN,2006/11/08,19:05:10 +1:00 GMT,222.80.184.68:1780,192.168.31.5:1434,UDP
FWIN,2006/11/08,19:08:46 +1:00 GMT,192.168.42.221:3677,192.168.31.5:445,TCP (flags:S)
FWIN,2006/11/08,19:10:58 +1:00 GMT,61.229.104.214:3934,192.168.31.5:25,TCP (flags:S)
FWIN,2006/11/08,19:23:48 +1:00 GMT,192.168.50.250:1086,192.168.31.5:135,TCP (flags:S)
FWIN,2006/11/08,19:31:14 +1:00 GMT,192.168.21.122:4431,192.168.31.5:139,TCP (flags:S)
FWIN,2006/11/08,19:32:44 +1:00 GMT,192.168.21.122:3889,192.168.31.5:135,TCP (flags:S)
FWIN,2006/11/08,19:33:34 +1:00 GMT,192.168.21.122:1803,192.168.31.5:139,TCP (flags:S)
FWIN,2006/11/08,19:49:00 +1:00 GMT,222.141.207.103:6000,192.168.31.5:1433,TCP (flags:S)
FWIN,2006/11/08,19:58:20 +1:00 GMT,192.168.42.221:4405,192.168.31.5:139,TCP (flags:S)
FWIN,2006/11/08,19:59:52 +1:00 GMT,192.168.50.250:1976,192.168.31.5:135,TCP (flags:S)
FWIN,2006/11/08,20:04:56 +1:00 GMT,192.168.42.221:2842,192.168.31.5:445,TCP (flags:S)
